player_name,player_api_id,home_team_api_id,id,player_fifa_api_id,player_api_id-2,date,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
Danny Welbeck,113836,10260,37686,186146,113836,2/22/2007 0:00,64,87,right,medium,medium,52,65,49,50,69,76,57,65,39,70,83,79,77,51,61,61,64,51,52,52,39,41,42,57,58,21,22,18,3,21,39,21,21
Danny Welbeck,113836,10260,37685,186146,113836,8/30/2008 0:00,64,87,right,medium,medium,52,65,49,50,69,76,57,65,39,70,83,79,77,51,61,61,64,51,52,52,39,41,42,57,58,21,22,18,3,21,39,21,21
Danny Welbeck,113836,10260,37684,186146,113836,2/22/2009 0:00,71,87,right,medium,medium,62,70,60,56,69,77,57,65,39,75,83,79,77,61,61,75,64,61,60,65,39,61,72,57,65,21,22,18,3,21,39,21,21
Danny Welbeck,113836,10260,37683,186146,113836,8/30/2009 0:00,73,85,right,medium,medium,69,74,64,61,69,77,57,65,39,75,84,82,77,61,61,78,64,67,60,74,39,61,76,57,62,21,22,18,3,21,39,21,21
Danny Welbeck,113836,10260,37682,186146,113836,2/22/2010 0:00,71,85,right,medium,medium,66,70,64,61,69,72,57,65,39,67,84,82,77,61,61,71,64,67,60,74,39,61,76,57,62,21,22,18,3,21,39,21,21
Danny Welbeck,113836,10260,37681,186146,113836,8/30/2010 0:00,69,84,right,medium,medium,65,69,63,60,69,71,57,64,38,66,80,80,77,60,61,70,64,65,59,73,38,43,75,57,64,17,21,18,8,9,5,11,15
Danny Welbeck,113836,10260,37680,186146,113836,2/22/2011 0:00,76,84,right,medium,medium,69,78,72,70,69,76,60,64,57,76,84,82,81,72,70,76,73,79,68,71,70,33,76,68,64,37,41,38,8,9,5,11,15
Danny Welbeck,113836,10260,37679,186146,113836,8/30/2011 0:00,76,84,right,medium,medium,70,78,79,73,69,77,60,64,57,74,84,82,86,77,63,76,82,79,67,71,59,21,76,68,78,13,35,31,8,9,5,11,15
Danny Welbeck,113836,10260,37678,186146,113836,2/22/2012 0:00,79,84,right,high,high,70,84,79,73,73,79,60,64,57,73,86,82,86,77,63,76,82,84,67,74,59,21,79,68,78,13,35,31,8,9,5,11,15
Danny Welbeck,113836,10260,37677,186146,113836,8/31/2012 0:00,79,84,right,high,high,70,84,81,74,75,79,60,64,57,75,86,84,86,77,63,76,84,85,71,74,59,21,79,68,78,13,35,31,8,9,5,11,15
Danny Welbeck,113836,10260,37676,186146,113836,2/15/2013 0:00,80,84,right,high,high,70,84,81,76,75,78,60,64,59,74,86,85,85,77,62,76,84,86,70,74,59,21,79,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37675,186146,113836,3/8/2013 0:00,79,84,right,high,high,70,79,81,76,75,79,60,64,59,75,86,85,85,77,62,76,84,86,70,74,59,21,79,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37674,186146,113836,3/22/2013 0:00,79,84,right,high,high,70,79,81,76,75,79,60,64,59,75,86,85,85,77,62,76,84,86,70,74,59,21,79,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37673,186146,113836,4/12/2013 0:00,79,84,right,high,high,70,79,81,76,75,79,60,64,59,75,86,85,85,77,62,76,84,86,70,74,59,21,79,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37672,186146,113836,4/19/2013 0:00,79,84,right,high,high,70,76,81,76,75,79,60,64,59,75,86,85,85,77,62,76,84,86,70,74,59,21,79,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37671,186146,113836,5/17/2013 0:00,79,84,right,high,high,70,76,81,76,75,79,60,64,59,75,86,85,85,77,62,76,84,86,70,74,59,21,79,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37670,186146,113836,9/20/2013 0:00,78,83,right,high,high,70,76,81,82,75,79,60,64,63,76,86,84,85,77,62,76,84,86,70,74,59,21,81,68,78,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37669,186146,113836,2/7/2014 0:00,78,83,right,high,high,68,76,81,82,75,79,60,61,63,76,86,84,85,77,62,76,84,86,70,74,59,21,81,68,77,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37668,186146,113836,3/28/2014 0:00,78,83,right,high,high,68,76,81,82,75,80,60,61,63,80,86,84,85,77,75,76,84,86,75,74,59,21,81,68,77,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37667,186146,113836,9/18/2014 0:00,78,83,right,high,high,68,76,81,82,75,80,60,61,63,78,86,84,85,77,75,76,84,86,75,74,59,21,81,68,77,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37666,186146,113836,11/14/2014 0:00,78,83,right,high,high,68,76,81,82,75,80,60,61,63,78,86,84,85,77,75,76,84,86,75,74,59,21,81,68,77,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37665,186146,113836,12/19/2014 0:00,78,83,right,high,high,68,76,79,82,75,80,60,61,63,78,86,85,85,77,75,76,84,86,75,74,59,21,81,68,77,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37664,186146,113836,1/16/2015 0:00,78,83,right,high,high,68,76,79,82,75,80,60,61,63,78,86,85,85,77,75,76,84,84,75,74,59,21,81,68,77,22,37,32,8,9,5,11,15
Danny Welbeck,113836,10260,37663,186146,113836,9/21/2015 0:00,79,84,right,high,high,69,77,80,83,76,81,61,62,64,79,86,84,85,78,64,77,84,84,75,75,77,22,82,69,70,23,38,33,9,10,6,12,16
Danny Welbeck,113836,10260,37662,186146,113836,11/26/2015 0:00,79,83,right,high,high,69,77,80,83,76,81,61,62,64,79,86,84,85,78,64,77,84,84,75,75,77,22,82,69,70,23,38,33,9,10,6,12,16
Danny Welbeck,113836,10260,37661,186146,113836,1/28/2016 0:00,79,83,right,high,high,69,77,75,78,76,81,61,62,64,79,86,84,85,78,64,77,80,84,75,75,77,22,82,69,70,23,38,33,9,10,6,12,16
Danny Welbeck,113836,10260,37660,186146,113836,3/3/2016 0:00,79,83,right,high,high,69,77,77,78,76,81,61,62,64,79,86,84,85,78,64,77,80,84,78,75,77,22,82,69,70,23,38,33,9,10,6,12,16
Danny Welbeck,113836,10260,37659,186146,113836,3/17/2016 0:00,79,83,right,high,high,69,77,77,78,76,81,61,62,64,79,87,85,85,78,64,77,80,84,78,72,77,22,82,72,70,23,38,33,9,10,6,12,16
Dimitar Berbatov,27430,10260,44635,30110,27430,2/22/2007 0:00,84,90,right,low,low,72,92,89,79,91,77,74,79,61,86,85,89,78,93,79,78,85,69,73,71,71,78,85,86,79,12,24,18,7,8,61,12,8
Dimitar Berbatov,27430,10260,44634,30110,27430,8/30/2007 0:00,85,87,right,low,low,72,92,90,81,91,79,74,80,61,87,79,78,78,87,79,85,85,72,85,77,73,78,85,86,90,22,24,18,7,22,61,22,22
Dimitar Berbatov,27430,10260,44633,30110,27430,8/30/2008 0:00,86,87,right,low,low,75,92,87,89,91,82,74,80,61,90,77,78,78,85,79,87,85,68,81,77,60,77,86,86,93,22,24,18,7,22,61,22,22
Dimitar Berbatov,27430,10260,44632,30110,27430,2/22/2009 0:00,86,87,right,low,low,75,92,87,89,91,82,74,70,61,90,77,78,78,85,79,87,85,61,81,77,60,77,86,86,93,22,24,18,7,22,61,22,22
Dimitar Berbatov,27430,10260,44631,30110,27430,8/30/2009 0:00,85,87,right,low,low,76,90,87,86,91,83,74,70,61,90,72,73,78,91,79,87,85,61,77,77,60,76,89,86,89,22,24,18,7,22,61,22,22
Dimitar Berbatov,27430,10260,44630,30110,27430,2/22/2010 0:00,83,87,right,low,low,76,86,84,85,91,83,74,70,69,88,72,73,78,84,79,87,85,61,77,75,60,76,89,86,83,22,24,18,7,22,69,22,22
Dimitar Berbatov,27430,10260,44629,30110,27430,8/30/2010 0:00,82,87,right,low,low,76,86,84,85,91,83,74,70,69,88,70,71,78,84,79,87,85,60,77,75,60,32,76,86,75,12,24,18,15,6,9,8,15
Dimitar Berbatov,27430,10260,44628,30110,27430,2/22/2011 0:00,84,87,right,low,low,77,90,84,85,91,84,74,70,69,88,70,73,78,88,80,85,85,66,77,77,60,42,81,86,75,22,24,21,15,6,9,8,15
Dimitar Berbatov,27430,10260,44627,30110,27430,8/30/2011 0:00,82,82,right,low,low,78,88,85,83,85,82,77,65,77,87,68,68,69,73,52,84,80,58,72,70,42,28,81,75,72,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44626,30110,27430,2/22/2012 0:00,82,82,right,low,low,78,88,85,83,86,82,77,65,77,87,68,68,69,73,52,84,75,58,72,70,42,28,81,75,72,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44625,30110,27430,8/31/2012 0:00,82,82,right,low,low,78,88,85,83,86,82,77,65,77,87,68,68,69,73,52,84,75,55,72,70,42,28,81,75,72,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44624,30110,27430,2/15/2013 0:00,82,82,right,low,low,78,88,85,83,86,83,78,65,77,87,65,68,69,73,52,84,75,55,72,70,42,28,83,83,79,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44623,30110,27430,4/12/2013 0:00,82,82,right,low,low,78,88,85,83,86,83,78,65,77,87,65,68,69,73,52,84,75,55,73,70,42,28,83,83,79,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44622,30110,27430,4/19/2013 0:00,82,82,right,low,low,78,88,85,83,86,83,78,65,77,87,65,68,69,73,52,84,75,55,73,70,42,28,83,83,79,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44621,30110,27430,4/26/2013 0:00,82,82,right,low,low,78,87,85,83,86,83,78,65,77,87,65,68,69,73,52,84,75,55,73,70,42,28,83,83,79,11,14,10,15,6,9,8,15
Dimitar Berbatov,27430,10260,44620,30110,27430,5/24/2013 0:00,82,82,right,low,low,78,87,85,86,86,83,78,65,78,87,65,68,69,73,52,84,75,55,73,70,42,28,83,83,82,11,14,10,15,6,9,8,15
